Date,Open,High,Low,Close
1/12/2023,104.650002,104.660004,103.75,104.190002
4/12/2023,104.949997,105.580002,104.589996,105.120003
5/12/2023,104.989998,104.989998,104.410004,104.709999
6/12/2023,105.489998,106.720001,105.239998,106.339996
7/12/2023,105.980003,106.540001,105.699997,106.269997
8/12/2023,105.769997,106.440002,105.220001,106.440002
11/12/2023,106.669998,107.455002,106.639999,106.940002
12/12/2023,106.730003,107.639999,106.650002,107.410004
13/12/2023,107.800003,108.389999,107.605003,108.150002
14/12/2023,108.919998,109.519997,108.629997,109.519997
15/12/2023,110,110.5,109.519997,110.07
18/12/2023,109.5,110.129997,109.139999,110
19/12/2023,110.349998,110.889999,109.650002,110.599998
20/12/2023,110.800003,111.150002,110.650002,110.970001
21/12/2023,110.730003,110.860001,110.010002,110.559998
22/12/2023,110.190002,110.830002,110.160004,110.5
27/12/2023,111.120003,111.849998,110.760002,111.190002
28/12/2023,111.809998,112.290001,111.559998,112.290001
29/12/2023,112.150002,112.370003,111.43,111.800003
